Search City	Job Title	Company	Location	Required Skills	Posted Date	Job URL
Mumbai	Ops Trainer- Associate/Sr Associate	Delhivery	Mumbai (All Areas)	Training And Development | Learning And Development | Operations | Training Coordination	1 week ago	https://www.naukri.com/job-listings-ops-trainer-associate-sr-associate-delhivery-mumbai-all-areas-1-to-6-years-120626023359
Mumbai	General Manager / Hotel Operations / Hospitality Management / Hotel GM	India's Leading Hotel Chain	"Mumbai (All Areas), Patna, Pune, Chennai, Bengaluru, Delhi / NCR"	Hotel Management | Hotel GM | Hospitality Management | Hotel Administration | Food & Beverage | Revenue Management | Team Leadership | Hospitality Services	1 day ago	https://www.naukri.com/job-listings-general-manager-hotel-operations-hospitality-management-hotel-gm-freelancer-patna-pune-chennai-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-220626017045
Mumbai	Executive - Operations	Bottle Lab Technologies	Mumbai	cost reduction | operations management | team management | back office operations | back office | warehouse operations | customer service | logistics	3+ weeks ago	https://www.naukri.com/job-listings-executive-operations-bottle-lab-technologies-pvt-ltd-smartq-mumbai-0-to-2-years-220526504010
Mumbai	Assistant Manager - Operations	K Raheja Corp	Mumbai	Operations | Communication Skills | Leadership | Operations Management | Quality Control | Management | Quality | Control	2 weeks ago	https://www.naukri.com/job-listings-assistant-manager-operations-k-raheja-corp-real-estate-private-limited-mumbai-4-to-7-years-050626923394
Mumbai	Operations & Sales Executive	Hikerwolf	Mumbai		Starts in 1-3 months	https://www.naukri.com/job-listings-operations-sales-executive-hikerwolf-mumbai-0-to-3-years-270324500054
Mumbai	WAREHOUSE EXECUTIVE (Receipts & Dispatch)	Blue Dart Express Ltd	Mumbai	application software | dispatchinventory | operations | shipment | warehouse management | warehouse | communication skills | Dispatch	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-executive-receipts-dispatch-blue-dart-express-ltd-mumbai-2-to-7-years-250326501138
Mumbai	Executive - Warehouse Operations - Contract Logistics	DP World	"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"	Outbound | Operations management | Warehouse | contract logistics | Warehouse Executive | Compliance | Warehouse operations | Inventory	3+ weeks ago	https://www.naukri.com/job-listings-executive-warehouse-operations-contract-logistics-dp-world-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-080825502552
Mumbai	Sr . Executive ( Stores & Logistics )	Godrej koerber Supply Chain Ltd	Mumbai	SAP | Data management | Supply chain operations | Physical verification | Supply chain solutions | Inventory control | Inventory | Monitoring	3+ weeks ago	https://www.naukri.com/job-listings-sr-executive-stores-logistics-godrej-koerber-supply-chain-ltd-mumbai-5-to-7-years-120724502144
Mumbai	Dispatch Executive (Females Only)	Sunanda Speciality Coatings	"Mumbai, Dadar"	Dispatch Incharge | Dispatch Coordinator | Dispatch and admin | Dispatch | Dispatch Scheduling | Administration | Stock Management | Material Dispatch	3+ weeks ago	https://www.naukri.com/job-listings-dispatch-executive-females-only-sunanda-speciality-coatings-mumbai-dadar-1-to-5-years-310326024421
Mumbai	"Billing And Dispatch Executive - Ghansoli, Mumbai - Female"	Seven Consultancy	Mumbai	Billing | Dispatch | Inventory Management | Vendor Relations | Delivery Challan | Invoicing | Order Processing | Relationship	Few hours ago	https://www.naukri.com/job-listings-billing-and-dispatch-executive-ghansoli-mumbai-female-seven-consultancy-mumbai-1-to-3-years-240626008306
Mumbai	Dispatcher Executive ( CSE )	Navkar Business Services	Mumbai	Business services | CVS | Usage | Provident fund | PDF | Senior Executive | CAD | Medical insurance	3+ weeks ago	https://www.naukri.com/job-listings-dispatcher-executive-cse-navkar-business-services-mumbai-0-to-3-years-130224501426
Mumbai	Sales Billing Dispatch Executive	Double Hr Consultancy	Mumbai	SAP FICO | Sales | Billing | Dispatch Executive | SAP Executive | Sales Bill | SAP | Dispatch	3+ weeks ago	https://www.naukri.com/job-listings-sales-billing-dispatch-executive-double-hr-consultancy-mumbai-2-to-4-years-031225502118
Mumbai	Dispatch Executive	Ambetronics Engineers	Mumbai	Dispatch Planning | Dispatch Scheduling | Dispatch | Order Processing | Process | Order fulfillment | Processing | Scheduling	2 weeks ago	https://www.naukri.com/job-listings-dispatch-executive-ambetronics-engineers-mumbai-1-to-4-years-090626031956
Mumbai	Dispatch Executive	Quiz Electronics Llp	Mumbai(Vasai East)	Tally ERP | Communication Skills | Excel | Dispatch | Hindi | MS Office | Microsoft | Tally	1 day ago	https://www.naukri.com/job-listings-dispatch-executive-quiz-electronics-llp-mumbai-0-to-2-years-230626934890
Mumbai	Dispatch Executive	Convocare Hr & Counselling	Mumbai	Transport Executive | Transport management | Routing | Dispatch Executive | Logistics | Sales achievement | Transportation | Sales	3+ weeks ago	https://www.naukri.com/job-listings-dispatch-executive-convocare-hr-counselling-services-llp-mumbai-2-to-4-years-190326501688
Mumbai	Dispatch Executive	Gemtree Natural Produce	Mumbai	grn | dispatch | supply chain | warehouse operations | warehouse management | logistics operations | logistics | warehouse	3+ weeks ago	https://www.naukri.com/job-listings-dispatch-executive-gemtree-mumbai-1-to-4-years-100725501560
Mumbai	Dispatch Executive	Vinson Logistics	Mumbai(Taloja)	Inbound Logistics | SAP | Dispatch | Dispatch Planning | Outbound Logistics | GRN | E Way Bill | Warehouse Operations	2 weeks ago	https://www.naukri.com/job-listings-dispatch-executive-vinson-logistics-mumbai-3-to-5-years-040626021654
Mumbai	Dispatch Executive	s d fiNE CHEM (SDFCL)	Mumbai	SAP | Chemical | PDF | Sales | MS Word | Executive management | Sales accounting | Management	3+ weeks ago	https://www.naukri.com/job-listings-dispatch-executive-s-d-fine-chem-limited-mumbai-5-to-10-years-070325500582
Mumbai	Billing Dispatch Executive	Enrg	"Mumbai, New Delhi, Pune"	Tally | Excel | Accounting | MIS | Billing | Packaging | MS Office | Dispatch Executive	3+ weeks ago	https://www.naukri.com/job-listings-billing-dispatch-executive-enrg-mumbai-new-delhi-pune-3-to-4-years-031224508528
Mumbai	Billing Dispatch Executive	Rims Marketing	"Mumbai, New Delhi, Pune"	Tally | Excel | Accounting | MIS | Billing | Packaging | Dispatch Executive | MS Office	3+ weeks ago	https://www.naukri.com/job-listings-billing-dispatch-executive-lakdi-mumbai-new-delhi-pune-3-to-4-years-300925504655
Mumbai	Dispatch Executive	Cavalier Enterprises	Mumbai(Borivali East)	Dispatch | material delivery | Inward | outward | Dispatch Planning | Materials | Planning | Delivery	5 days ago	https://www.naukri.com/job-listings-dispatch-executive-cavalier-enterprises-mumbai-0-to-1-years-190626010378
Mumbai	Dispatch Executive	TeamLease	Mumbai (All Areas)(Bandra Kurla Complex)	Dispatch	3+ weeks ago	https://www.naukri.com/job-listings-dispatch-executive-teamlease-mumbai-all-areas-0-to-1-years-260526013981
Mumbai	Dispatch Executive	Aromatan	"Navi Mumbai, Turbhe"	dispatch operations | shipping labels | invoicing | logistics | Amazon order | packaging | labelling | warehouse	3+ weeks ago	https://www.naukri.com/job-listings-dispatch-executive-aromatan-brands-private-limited-navi-mumbai-turbhe-1-to-4-years-250526929362
Mumbai	Executive/ Sr.Executive- Store & Dispatch	Acumen Training And Hr Solutions	Mumbai	Supply chain | SAP MM module | Logistics planning | Manpower management | SAP | Senior Executive Stores | Senior Executive | Cost reduction	3 weeks ago	https://www.naukri.com/job-listings-executive-sr-executive-store-dispatch-acumen-training-and-hr-solutions-mumbai-10-to-15-years-290526506400
Mumbai	"Warehouse Executive,"	Consolidated	"Mumbai, Dombivli, Kalyan"	Warehouse Operations | GRN | Inbound Logistics | SAP | LIFO | Inward | FIFO | Warehouse Management	2 days ago	https://www.naukri.com/job-listings-warehouse-executive-consolidated-mumbai-dombivli-kalyan-1-to-15-years-220626002848
Mumbai	Warehouse Executive	Vagh Trader	Mumbai(Bhiwandi)	Shipment | Loading Unloading | pick and pack | Inventory | Warehouse Operations | Warehouse | Inward | Stock Management	1 day ago	https://www.naukri.com/job-listings-warehouse-executive-vagh-trader-mumbai-0-to-1-years-230626931399
Mumbai	Warehouse Executive	Flipkart	"Mumbai (All Areas), Nagpur, saidham"	Inventory | Warehouse Operations | Inward | Outward Clearing | Supply Chain Management | Warehouse Management | Operations | Warehouse	4 days ago	https://www.naukri.com/job-listings-warehouse-executive-flipkart-nagpur-mumbai-all-areas-saidham-1-to-3-years-190626018271
Mumbai	Facility Executive - Cold Storage Warehouse	Crpl Infra	"Navi Mumbai, Panvel"	Cold Chain Management | Warehouse Management | Facility Management | Cold | Facilities | Cold chain | Storage | Management	2 days ago	https://www.naukri.com/job-listings-facility-executive-cold-storage-warehouse-crpl-infra-panvel-navi-mumbai-4-to-8-years-210626004470
Mumbai	Warehouse Manager	Cityfurnish	Mumbai (All Areas)(Bhiwandi)	Warehouse Management | Inventory Planning | Supply Chain Management | Odoo Development | Zoho Crm | Customer Support Operations | Supply Chain Operations | Warehouse Operations	1 week ago	https://www.naukri.com/job-listings-warehouse-manager-cityfurnish-mumbai-all-areas-3-to-8-years-270526032819
Mumbai	Warehouse Manager	Kilitch Drugs	Mumbai(Turbhe MIDC)	Warehouse Management | Team Management | Inventory Control | GMP/GDP Compliance | Audit Handling | SAP/ERP | Documentation & Dispatch Operations | FIFO/FEFO	5 days ago	https://www.naukri.com/job-listings-warehouse-manager-kilitch-drugs-mumbai-10-to-15-years-180626027768
Mumbai	Warehouse Manager (Ecommerce Experience)Male only	Bling Style pvt ltd	"Navi Mumbai, Mumbai (All Areas)(Vikhroli East)"	Inventory Management | Ecommerce Marketing | E-commerce | Dispatch | Nimbus | Sku | Sku Management | Warehouse management	3 weeks ago	https://www.naukri.com/job-listings-warehouse-manager-ecommerce-experience-male-only-talent-corner-hr-services-navi-mumbai-mumbai-all-areas-3-to-7-years-020626022524
Mumbai	Warehouse Manager	Leading Client	"Mumbai, Pune, Bengaluru"	Warehouse Management | Inventory Control | Team Leadership | WMS | FIFO | Supply Chain | 5S | SAP WM	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-manager-talent-corner-hr-services-pvt-ltd-mumbai-pune-bengaluru-6-to-11-years-260526936371
Mumbai	ECOMMERCE WAREHOUSE MANAGER	Servoteach Industries	"Mumbai, Malda"	Career development | ERP | Online sales | Packaging | Inventory control | Customer support | Digital marketing | Analytics	3+ weeks ago	https://www.naukri.com/job-listings-ecommerce-warehouse-manager-servoteach-industries-ltd-mumbai-malda-3-to-8-years-240226500823
Mumbai	ASSISTANT MANAGER	Spml Infra	Mumbai	erp | sap | journal entries | labour laws | accounting | inventory | warehouse | reconciliation	3+ weeks ago	https://www.naukri.com/job-listings-assistant-manager-spml-infra-limited-mumbai-10-to-15-years-140426502384
Mumbai	Warehouse Manager	The Whole Truth	Mumbai	Procurement | Warehouse | ERP | Supply chain management | Team management | MIS | Analytical | FMCG	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-manager-the-whole-truth-mumbai-4-to-7-years-090326501587
Mumbai	Warehouse Manager	Rentomojo	Mumbai	Procurement | Supply chain management | Team management | Manager Quality Assurance | Appliances | Resourcing | Inventory control | Corporate finance	3 weeks ago	https://www.naukri.com/job-listings-warehouse-manager-rentomojo-mumbai-3-to-6-years-020626502180
Mumbai	Warehouse Incharge	Talent Corner Hr Services	Mumbai	Warehouse Management | Supply Chain | Inventory | Warehouse Operations | Logistics | Dispatch | Supply | Management	3 weeks ago	https://www.naukri.com/job-listings-warehouse-incharge-talent-corner-hr-services-mumbai-8-to-10-years-010626005253
Mumbai	Warehouse Executive	Acme Services	Mumbai	Tally | Warehouse | Excise | Warehouse Executive | Packaging | Inventory control | Warehouse operations | Operations	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-executive-acme-services-mumbai-1-to-5-years-210223502913
Mumbai	Officer / Assistance Manager	Central Depository Services	Mumbai	Oracle SQL | Data modeling | Database | Data structures | Data quality | sqoop | quality operations | Troubleshooting	3+ weeks ago	https://www.naukri.com/job-listings-officer-assistance-manager-central-depository-services-india-limited-mumbai-2-to-3-years-170723500704
Mumbai	Warehouse Manager	Sinotrans India	Mumbai	Warehouse management | Space management | Warehouse operations | Management | Warehouse | Operations	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-manager-sinotrans-india-private-limited-mumbai-6-to-10-years-160524503153
Mumbai	Warehouse Manager	Brand Shell	Mumbai	grn | dispatch | warehouse management | warehouse operations | logistics | warehouse | inventory | supply chain operations	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-manager-brand-shell-mumbai-3-to-8-years-130226506374
Mumbai	Warehouse Manager	Sohan Lal Commodity Management	"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"	Supply chain management | Team management | Packaging | Inventory control | Warehouse management | Manager Quality Control | Operations | Warehouse operations	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-manager-sohan-lal-commodity-management-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-091223500743
Mumbai	Warehouse Manager	Truvison Industries	Mumbai	dispatch | warehouse management | warehouse operations | logistics | warehouse | inventory | distribution | supply	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-manager-truvison-industries-mumbai-5-to-9-years-091025503114
Mumbai	Warehouse Manager	Crepdog Crew	Mumbai	Housekeeping | Accessories | Retail | ERP | Reverse logistics | Packaging | Inventory control | E-commerce	3+ weeks ago	https://www.naukri.com/job-listings-warehouse-manager-crepdog-crew-mumbai-6-to-8-years-070126503441
Mumbai	Operations Executive	Satya Bizcon	Navi Mumbai	coordinate | Plan | vehicle maintenance schedules | fuel consumption | transporters | invoices | and monitor daily transportation and logistics activities. Track vehicle movements and ensure timely dispatch and delivery of shipments. Coordinate with drivers | vendors	1 week ago	https://www.naukri.com/job-listings-operations-executive-satya-bizcon-navi-mumbai-1-to-6-years-170626015492
Mumbai	"Executive - Operations (NCC), HQC"	DHL Supply Chain	Mumbai	Supply chain | ERP | Network operations | Issue resolution | Wellness | Transport management system | Performance management system | Service quality	1 day ago	https://www.naukri.com/job-listings-executive-operations-ncc-hqc-dhl-global-forwarding-india-mumbai-2-to-7-years-220626503213
Mumbai	Executive - Operations LM FM	Flipkart	Mumbai (All Areas)	Communication Skills | Last Mile | Middle Mile | Email Etiquette | Reverse Logistics | Last Mile Delivery | RTO | Logistics	1 week ago	https://www.naukri.com/job-listings-executive-operations-lm-fm-flipkart-mumbai-all-areas-1-to-6-years-100626022709
Mumbai	Operations Executive	Nykaa	"Mumbai (All Areas), Bhiwandi"	Outbound | Inward | Inbound Logistics | Logistics Operations | Supply Chain Operations | Supply Chain | Warehouse Operations | 3Pl	3+ weeks ago	https://www.naukri.com/job-listings-operations-executive-nykaa-bhiwandi-mumbai-all-areas-1-to-5-years-250326029331
Mumbai	Executive - XB Operations Monitoring & Analytics	Blue Dart	Mumbai (All Areas)(Andheri)	Cross Border Operations | Logistics Operations | Supply Chain Operations | Logistics | Operations | Supply | Analytics | Supply chain	1 week ago	https://www.naukri.com/job-listings-executive-xb-operations-monitoring-analytics-blue-dart-mumbai-all-areas-3-to-6-years-130626000020
Mumbai	Operations Executive	A1 Human Wealth Management	Mumbai	Supply chain | Service delivery | Manager Quality Assurance | Customer support | Operation Executive | Continuous improvement | Operations | Mechanical engineering	2 weeks ago	https://www.naukri.com/job-listings-operations-executive-a1-human-wealth-management-mumbai-0-to-3-years-090626505217
Mumbai	Operation Executive	First Flight Couriers (FFCL)	Mumbai	operations management | supply chain | warehouse operations | back office | customer service | logistics operations | logistics | warehouse	3+ weeks ago	https://www.naukri.com/job-listings-operation-executive-first-flight-couriers-ltd-mumbai-2-to-7-years-180226502984
Mumbai	Executive ( Railway Operations )	Tripjack	Mumbai	cost reduction | operations management | team management | warehouse operations | customer service | logistics | problem solving | process improvements	3+ weeks ago	https://www.naukri.com/job-listings-executive-railway-operations-tripjack-mumbai-0-to-2-years-200526502209
Mumbai	Operations Executive	BVC Logistics	Mumbai(Andheri East +1)	E-commerce | Logistics Operations | Last Mile | Hub Operations | Logistics Management | Supply Chain Operations | Route Planning | Planning	3 weeks ago	https://www.naukri.com/job-listings-operations-executive-bvc-logistics-mumbai-0-to-3-years-030626018328
Mumbai	Operations Executive	Propscience	Mumbai	vendor management | operations management | management skills | team management | back office | administration | customer service | logistics	3+ weeks ago	https://www.naukri.com/job-listings-operations-executive-propscience-com-mumbai-0-to-2-years-220424501721
Mumbai	Operations Executive	Neem Holidays	Mumbai	vendor management | operations management | management skills | team management | back office | administration | customer service | logistics	3+ weeks ago	https://www.naukri.com/job-listings-operations-executive-neem-holidays-pvt-ltd-mumbai-0-to-2-years-210824502614
Mumbai	Operation Executive	Kontent Media	Mumbai	funding | operations management | data analysis | team management | warehouse operations | customer service | logistics | machine learning	3+ weeks ago	https://www.naukri.com/job-listings-operation-executive-kontent-media-mumbai-0-to-2-years-150125503601
Mumbai	Executive - Operations	Bottle Lab Technologies	Mumbai	cost reduction | operations management | management skills | team management | warehouse operations | customer service | logistics | process improvement	3 weeks ago	https://www.naukri.com/job-listings-executive-operations-bottle-lab-technologies-pvt-ltd-smartq-mumbai-0-to-2-years-020626502697
Mumbai	Dp Operations Executive	YES Securities	Mumbai	aml | risk management | operations management | data analysis | anti money laundering | team management | customer service | logistics	1 day ago	https://www.naukri.com/job-listings-dp-operations-executive-yes-securities-mumbai-1-to-4-years-220626505861
Mumbai	Operations Executive	Cdp India	Mumbai(Lower Parel)	Government Liaison | Project Coordinator | Railways | Operations Executive | Infrastructure Projects | Field Operations | Public Sector Projects | Government Relations	2 days ago	https://www.naukri.com/job-listings-operations-executive-cdp-india-mumbai-3-to-5-years-220626009768
Mumbai	Pricing & Operations Executive	Aerosky Freight	Navi Mumbai	Sea Freight Pricing | Rate Negotiation | Quotation Preparation | Air Freight Pricing | Freight Forwarding | Logistics Operations | Booking Management | Management	5 days ago	https://www.naukri.com/job-listings-pricing-operations-executive-aerosky-freight-navi-mumbai-1-to-2-years-180626019042
Mumbai	Operations Executive	JD Healthcare	"Mumbai(Nahur West), Thane"	Inventory Management | Oddo Software | Supply Chain | Logistics | Warehouse Operations | Inbound Logistics | Outbound Logistics | Logistics Management	4 days ago	https://www.naukri.com/job-listings-operations-executive-jd-healthcare-mumbai-thane-3-to-8-years-200626010651
Mumbai	Executive-Operations	APM Terminals	Navi Mumbai	Supply chain | ERP | Automation | Operational risk | Analytical | Workflow | Customer service | Operations	3+ weeks ago	https://www.naukri.com/job-listings-executive-operations-apm-terminal-sport-india-navi-mumbai-1-to-5-years-160226505467
Mumbai	Operations Executive - Mumbai	Zippee	Mumbai(Andheri)	Inbound Logistics | Outbound Logistics | Inventory Management | Manpower Handling | GRN | Manpower Management | Logistics Management | Ecommerce Operations	1 week ago	https://www.naukri.com/job-listings-operations-executive-mumbai-zippee-mumbai-3-to-8-years-220526022023
Mumbai	Last Mile Manager	Cityfurnish	"Mumbai, Gurugram, Bengaluru"	Supply Chain Operations | Reverse Logistics | Manpower Management | Last Mile Delivery | e-commerce operations | Cost Management | SLA | Vendor Management	5 days ago	https://www.naukri.com/job-listings-last-mile-manager-cityfurnish-mumbai-gurugram-bengaluru-5-to-10-years-180626030427
Mumbai	"Manager, Global Solutions Delivery"	Miles Education	Hybrid - Mumbai (All Areas)	Client Management | Offshore | Transition Management | GCC | Client Servicing | Accounting | Service Delivery | Transition	5 days ago	https://www.naukri.com/job-listings-manager-global-solutions-delivery-miles-education-mumbai-all-areas-8-to-13-years-260226034334
Mumbai	Supply Chain Executive	Eridani Fashions	"Mumbai(Byculla), Mumbai (All Areas)"	Inventory Planning | Supply Chain Management | Supply Chain Operations | Supply Chain | Logistics | Operations | Supply | Inventory	1 week ago	https://www.naukri.com/job-listings-supply-chain-executive-eridani-fashions-mumbai-mumbai-all-areas-2-to-4-years-130626009859
Mumbai	Supply Chain Executive	Mascot International	Mumbai(Lower Parel)	Export | Import Documentation | Supply Chain Operations | Import | Operations | Supply | Supply chain | Documentation	1 day ago	https://www.naukri.com/job-listings-supply-chain-executive-mascot-international-mumbai-2-to-5-years-230626930705
Mumbai	Executive- Supply Chain	The Whole Truth	Mumbai	cost reduction | erp | supply chain | warehouse operations | warehouse management | purchase | logistics | inventory	3+ weeks ago	https://www.naukri.com/job-listings-executive-supply-chain-the-whole-truth-mumbai-1-to-2-years-070526500243
Mumbai	Supply Chain Executive	Jaguar Land Rover	Mumbai	cost reduction | supply chain | software | warehouse operations | warehouse management | purchase | logistics | warehouse	3+ weeks ago	https://www.naukri.com/job-listings-supply-chain-executive-jaguar-land-rover-india-limited-mumbai-5-to-10-years-030426502711
Mumbai	Supply Chain Manager	Mahasainik Canteen Pvt. Ltd. (MSCPL)	Mumbai(kurla west)	Outbound Logistics | Inventory Management | Logistics Operations | Logistics Management | Logistics Planning | Supply Chain Operations | Warehouse Management | Transport Operations	1 day ago	https://www.naukri.com/job-listings-supply-chain-manager-mahasainik-canteen-pvt-ltd-mscpl-mumbai-0-to-7-years-170626036043
Mumbai	Supply Chain Executive	Sids Farm	Mumbai	cost reduction | supply chain | warehouse management | warehouse operations | purchase | logistics | warehouse | supply	3+ weeks ago	https://www.naukri.com/job-listings-supply-chain-executive-sids-farm-mumbai-1-to-2-years-230426504698
Mumbai	Supply Chain Executive (Sustainability)	Fujifilm Sericol India	"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad"	data analysis | operations | supply chain | supply chain operationstransportation | logistics | supply | communication skills | Sustainability	3+ weeks ago	https://www.naukri.com/job-listings-supply-chain-executive-sustainability-fujifilm-sericol-india-pvt-ltd-mumbai-nagpur-thane-nashik-pune-aurangabad-5-to-10-years-240326504656
Mumbai	Supply Chain Executive	Nilkamal	Mumbai(Andheri East)	Supply Chain Management | Warehouse Operations | Material Management | Inventory Management | Supply | Operations | Management | Supply chain	2 days ago	https://www.naukri.com/job-listings-supply-chain-executive-nilkamal-mumbai-2-to-5-years-220626008818
Mumbai	Supply Chain Executive (Solar Rooftop / Middle-East)	Cleanmax Solar	Mumbai	supply chain | logistics management | warehouse operations | warehouse management | logistics operations | purchase | logistics | supply planning	3+ weeks ago	https://www.naukri.com/job-listings-supply-chain-executive-solar-rooftop-middle-east-cleanmax-green-energy-mumbai-2-to-4-years-120526502610
Mumbai	Executive - Buying & Supply Chain	Urban Pgm	"Mumbai, Kolkata, Chennai, Ahmedabad, Gurugram, Manesar"	Supply chain | Procurement | Purchase Executive | Logistics coordination | Sales Support Executive | PDF | SVG | Flex	3+ weeks ago	https://www.naukri.com/job-listings-executive-buying-supply-chain-urban-pgm-kolkata-mumbai-chennai-ahmedabad-gurugram-manesar-0-to-2-years-260226504823
Mumbai	Supply Chain Executive	Generex Pharmassist	Mumbai	Procurement | Analytical | Inventory management | Supply Chain Executive | Logistics | Supply chain | Analytics | Inventory	3+ weeks ago	https://www.naukri.com/job-listings-supply-chain-executive-generex-pharmassist-private-limited-mumbai-2-to-5-years-180425501286
Mumbai	Supply Chain Executive	Living Liquidz	Mumbai(Juhu)	order Follow up | Supply Chain Management | MIS Reporting | Inventory Planning | Purchase Order | Supply Chain | Reporting | Follow ups	1 week ago	https://www.naukri.com/job-listings-supply-chain-executive-living-liquidz-india-private-limited-mumbai-2-to-7-years-170626018629
Mumbai	Supply Chain Manager	Mantras2Success Consultants	Mumbai	Procurement | Supply chain | Analytical skills | Project engineering | Inventory control | Logistics management | Logistics operations | SCM	3+ weeks ago	https://www.naukri.com/job-listings-supply-chain-manager-mantras2success-consultants-mumbai-0-to-8-years-290126506932
